id,bedrooms,bathrooms
1651458625539048520,1,1.0
1577498817421648011,1,1.0
1602952473937904539,1,
1500564623119654463,1,1.0
1462083158663460392,1,1.0
1205923422679122452,1,1.0
1627920018543138833,1,1.0
1227500356597227063,1,1.0
1176701377573639512,3,2.0
1380367733532763436,2,2.0
1660860920493578848,2,1.0
1537826898913582841,1,1.0
1571946785181337497,1,1.0
840544248476763973,1,1.0
1191708492273500924,1,1.0
1661940217216626136,1,1.0
9817667,3,2.5
987674334031324113,3,2.0
1496952984287693498,1,1.0
1625234508288497839,2,2.0
702026328842974612,,
1385060229363452468,,
1328510560169599144,1,1.0
1424085784389397598,1,1.0
974439554519651935,1,
1525505027880129868,2,2.0
1386837140721974511,2,2.0
1180360628636458295,2,2.0
1076004459965459449,1,1.0
1493082525022030240,3,1.0
1361000007215165792,4,2.5
888504443407553239,4,3.5
1381052147216678160,3,1.5
1213016649959329038,4,4.0
904166347638363320,1,1.0
1329094986217248475,3,1.5
1608458404556032761,1,1.0
992609716219291240,2,3.0
1381660179165917310,1,1.0
1659643333291643223,3,4.0
1179853350598080082,3,2.0
1506578188692303219,1,
1559479900130565419,1,
1150409328715597197,0 (studio),1.0
1380648806849968691,1,1.0
26825202,1,1.0
49039745,1,
13181162,1,1.0
1226127346468491659,2,2.5
43167843,1,1.0
1519742118292616756,4,3.0
1209722553336604480,1,1.0
1526162316052604824,1,
1092586881052614372,1,1.0
1011425577705002985,1,1.0
997711796092033105,1,1.0
1237564646529998624,2,1.0
1414405144370930392,1,1.0
1587065249933171470,3,4.0
1666273648078837043,2,1.0
1576999623902796969,2,
1134768290926510851,1,1.0
1418293145930199756,1,1.0
1571669607123814061,1,
1459275458309413302,1,1.0
1498035269967530342,2,1.0
1577541709058668590,1,1.0
1294308350286532199,1,1.0
1136034941071797168,3,2.0
1513175808352388853,3,3.0
39507154,3,1.0
1428921969631212583,1,
1664768965528056358,2,1.0
1564463961314051474,1,1.0
570158961517853330,2,1.0
842399195003437617,0 (studio),1.0
1589334524141935489,2,1.0
1396502372937750562,2,2.0
1665543950440841449,1,
846283079041523899,,
1631383974182856339,3,2.5
1484108310535882439,2,1.0
1042483269666961325,4,4.0
1165139126286619184,1,1.0
1116095384228706250,3,2.0
1657643569182262085,4,3.0
1236707226138243619,3,3.0
1086195826555814305,1,1.0
1443617973956365407,7,6.0
1415371678389603532,3,3.5
