title,lat,lng,rating_overall,reviews_count,rating_accuracy,rating_cleanliness,rating_value,rating_location,nightly_price,has_rating,bedrooms,bathrooms,description_length,has_wifi,has_pool,has_pyramid_view
Jacuzzi pyramids and Great museum,29.990356942343684,31.12888998320942,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,3.0,False,1,2.0,96,False,True,True
Brassbell l Downtown l Kasr 1BR w/ Balcony,30.04777787155161,31.23960129093433,4.8,51.0,4.84,4.71,4.78,4.86,95.5,True,1,1.0,67,True,False,False
Super Other Lux Doublex,30.0272,31.4278,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,3.0,False,3,1.0,12,False,False,False
Villa Town houses Corner,29.99313,30.89185,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,1.0,11,False,False,False
Apartment for rent on Shehab Street,30.0576,31.20113,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,3.0,False,3,4.0,29,False,False,False
Egyptian entire unit in mohandessin,30.066,31.19696,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,1.0,14,False,False,False
Cheerfully 5 bedroom villa with swimming pool,30.01072,31.46385,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,5,3.0,9,False,False,False
Unknown,29.95493,31.27493,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,4,3.0,1,False,False,False
"Fifth Settlement, New Cairo",29.99399,31.4171,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,4,4.0,9,False,False,False
luxurious apartment for rent at new cairo,29.98784,31.5033,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,3.0,False,3,2.0,52,False,False,False
Townhouse fully furnished,30.00833,31.54037,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,4,4.0,14,False,False,False
Long-term apartment rentals,30.0405,31.2007,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,3.0,14,False,False,False
New Cairo - Al Rahab 2,30.0687,31.4954,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,1.0,47,False,False,False
Nile Corniche Maadi Direct Families Only Othman Towers,29.98604360576452,31.229597054043257,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,4.0,False,3,2.0,11,False,False,False
villa in Madinty for rent,30.0738,31.639,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,3.0,False,4,4.0,67,False,True,False
Fully Furnished Apartment for long Rent,29.999099556599663,31.40081058077229,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,3.0,8,False,False,False
Lovely 3-bedroom condo with free-parking premises,30.00807,31.49033,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,3.0,False,3,3.0,14,False,False,False
Villa for rent in a prime location,30.0083,31.4294,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,2.0,9,False,False,False
Unknown,30.0546,31.3465,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,2.0,1,False,False,False
"Diamond Mansion I 9BR, Indoor & Roof Pool,Sauna",30.01334066093713,31.442458467720375,5.0,1.0,5.0,5.0,5.0,5.0,2.0,True,9,8.0,95,True,True,False
Villa in Rehab,30.06533213126939,31.484774766494358,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,3.0,False,4,3.5,20,False,False,False
Luxurious Pyramdis & Nile View Appartement,29.9557,31.2536,4.71,24.0,4.83,4.42,4.33,4.79,1.0,True,3,2.5,81,False,False,False
Luxurious panoramic Nile view,29.9717,31.2362,5.0,1.0,5.0,5.0,5.0,5.0,1.0,True,2,1.5,181,True,False,False
Auja Twin Estate,30.02329,31.48544,5.0,1.0,5.0,5.0,4.0,5.0,1.0,True,12,10.0,43,False,True,False
Sakkara Royal House with Big Garden and Big Pool,29.90561,31.19677,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,6,5.0,66,False,True,True
Madinaty Villa,30.10149,31.61163,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,5,5.0,11,False,False,False
First street of Dokki,30.03826711121137,31.21248743266294,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,3.0,False,2,1.5,12,False,False,False
No rent Buy this house $16000,30.0777,31.0001,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,1,1.0,41,False,False,False
East Town Triplex,30.01197,31.52008,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,4,4.0,8,False,False,False
Luxurious 3-bedroom apartment at Aeon Tower,30.005605336383777,30.971129369115,5.0,1.0,5.0,5.0,5.0,5.0,1.0,True,3,3.0,50,False,False,False
Elegance Villa - Families stay only in Allegria,30.0683,30.964,5.0,4.0,5.0,5.0,5.0,5.0,1.0,True,5,6.5,54,False,True,False
"The Grand Mansion I 9BR, 2 Pools & GYM",30.00028,31.51115,5.0,2.0,5.0,4.5,5.0,5.0,1.0,True,8,10.0,89,False,True,False
luxury Villa with heating pool @Allgeria Beverly H,30.07058,30.94034,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,6,4.5,290,False,True,False
A lovely stay with The Great Pyramid of Giza,29.97826,31.1472,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,1.0,159,False,False,False
Amazing villa modern in Allegria - sodic for rent,30.07279,30.95971,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,7,6.0,52,False,True,False
Under price Stand alone villa Hacienda Garden 512m,29.96804,31.25609,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,714.2,False,5,5.0,1,False,False,False
ELITE/7BR Fully Smart Villa •A-Class Stay •Beverly,30.068021740910687,30.94632401468705,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,7,8.0,402,False,True,False
Unknown,29.9054,30.9739,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,2.0,1,False,False,False
Apartment for rent in my city in the finest stages B8,30.10218763192769,31.612067513267935,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,2.0,83,False,False,False
The Royal Mansion 14 Master BR w/ 2 Pools in Cairo,30.0231,31.4829,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,14,16.0,69,False,True,False
Luxury 6BR Villa with Private Pool | 157,30.06637,30.94737,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,6,8.0,166,True,True,False
Lovely 3 bedroom apartment with open view,30.01102,31.53876,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,2.5,11,False,False,False
Unknown,30.0939,31.6238,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,1.0,1,False,False,False
Penthouse in new Cairo,30.10002,31.37363,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,4,5.0,80,False,False,False
Al Sawah I Luxury 6BD Smart Villa with Heated Pool,30.065937191344613,30.958154131774148,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,6,6.0,58,False,True,False
Shared pyramids view Rome 10 minutes to pyramid,29.99081,31.1283,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,1.0,102,False,False,False
"A unique opportunity, a hotel apartment",29.9959,31.1652,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,1,2.0,126,True,False,False
downtown studio,30.0393,31.2365,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,0,1.0,12,False,False,False
Annual rent only 3 bedrooms 3 bathrooms first floor,30.0535,31.20689,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,3.0,11,False,False,False
Apartment in sheraton El Matar for foreigners only,30.1048,31.365,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,2.0,50,False,False,False
Cuddle warm stay,30.02077,31.49543,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,2.0,34,False,False,False
Villas D'Egypte Mansoureya- Boutique Stays,30.11082,31.06395,5.0,3.0,5.0,5.0,5.0,4.33,1.0,True,7,7.0,86,False,True,False
Beautiful roof for anyone,30.10373,31.31745,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,1.0,10,False,False,False
Villa 17 B Al Mansourya view 1,30.1375,31.0712,4.73,11.0,4.73,4.45,4.55,4.27,1.0,True,3,3.5,73,False,True,False
ELITE | 6BR Palace • Elegant Royal Stay,30.0258,30.9998,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,7,10.0,9,False,False,False
Luxurious apartment in nasr city,30.0668,31.3358,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,3.0,70,False,False,False
Abu Al-Feda Zamalek 3 bedrooms,30.04555,31.23643,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,1,2.0,26,True,False,False
